,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,hotel_en_nm,room_index,room_nm,room_price,room_price_weekend,room_area,standard_date
0,294,제주특별자치도,제주시,관광호텔,(주)호텔하니크라운,㈜크라운에셋,영업중,미등급,,지상4~지하1,8098.7,5257.72,61,제주시 삼성로 10  (이도일동),,제주특별자치도 제주시 삼성로 10 (이도일동),제주특별자치도 제주시 이도일동 1315 제주하니관광호텔,33.5051187,126.5274939,제주특별자치도,제주시,이도일동,1315,1315,0,5011010300,5011010300-0-13150000,,,,,,,
1,295,제주특별자치도,제주시,관광호텔,제주KAL호텔,㈜칼호텔네트워크,영업중,5성급,2018.07.01.,지상15~지하2,12525.74,37885.27,282,제주시 중앙로 151  (이도일동) ,"연회장,카지노,실내수영장,헬스장,미용실,음식점 등",제주특별자치도 제주시 중앙로 151 (이도일동),제주특별자치도 제주시 이도일동 1691-7 제주KAL호텔,33.5060305,126.526277,제주특별자치도,제주시,이도일동,1691-7,1691,7,5011010300,5011010300-0-16910007,,,,,,,
2,296,제주특별자치도,제주시,관광호텔,"글래드호텔앤리조트(주)
메종글래드제주 (구 오라관광㈜메종 글래드 제주)",글래드호텔앤리조트(주),영업중,5성급,2017.06.30.,지상11~지하1,24745,55144.6,513,제주시 노연로 80  (연동),"키즈카페, 음식점, 편의점, 미용실,옥외수영장, 휘트니스, 사우나 등",제주특별자치도 제주시 노연로 80   (연동),제주특별자치도 제주시 연동 263-15 메종글래드 제주,33.4856126,126.488913,제주특별자치도,제주시,연동,263-15,263,15,5011013700,5011013700-0-02630015,,,,,,,
3,297,제주특별자치도,제주시,관광호텔,제주썬호텔,㈜지앤엘,휴업중,미등급,,지하2~지상9,4955.8,24127.93,203,제주시 삼무로 67  (연동) ,"한식,중식,뷔페(양식,경양식),휘트니스클럽(요가룸포함), 남녀사우나, Bar, 세미나실, 실내 골프연습장, 노래연습장, 피부관리실, 연회장, 비지니스센터",제주특별자치도 제주시 삼무로 67 (연동),제주특별자치도 제주시 연동 291-30,33.4901143,126.4938715,제주특별자치도,제주시,연동,291-30,291,30,5011013700,5011013700-0-02910030,,,,,,,
4,298,제주특별자치도,제주시,관광호텔,제주로얄호텔,(유)형석,영업중,미등급,,지상9~지하2,2414,11517.48,126,제주시 신대로12길 45 (연동),,제주특별자치도 제주시 신대로12길 45 (연동),제주특별자치도 제주시 연동 272-34 제주로얄호텔,33.4885267,126.4916748,제주특별자치도,제주시,연동,272-34,272,34,5011013700,5011013700-0-02720034,,,,,,,
5,299,제주특별자치도,제주시,관광호텔,제주마리나관광호텔,조양개발㈜,영업중,3성급,2017.11.30.,지상7~지하1,2360.4,4781.53,64,제주시 신대로 45  (연동),,제주특별자치도 제주시 신대로 45 (연동),제주특별자치도 제주시 연동 300-8 마리나호텔,33.4932304,126.4972113,제주특별자치도,제주시,연동,300-8,300,8,5011013700,5011013700-0-03000008,,,,,,,
6,300,제주특별자치도,제주시,관광호텔,제주팔레스호텔,제주팔레스개발㈜,영업중,미등급,,지상9~지하1,854,4995.33,94,제주시 탑동로 9(삼도이동),연회장,제주특별자치도 제주시 탑동로 9 (삼도이동),제주특별자치도 제주시 삼도이동 1192-18 제주팔레스관광호텔,33.5168718,126.5236889,제주특별자치도,제주시,삼도이동,1192-18,1192,18,5011010600,5011010600-0-11920018,Palace Hotel Jeju,0,스탠다드 트윈 (Standard Twin),"47,715","57,258",22m²,2021-12-13
7,301,제주특별자치도,제주시,관광호텔,제주서울관광호텔,㈜아라리오,휴업중,미등급,,지상7~지하1,1175,5955.75,108,제주시 탑동로 5(삼도이동),,제주특별자치도 제주시 탑동로 5 (삼도이동),제주특별자치도 제주시 삼도이동 1192-20 제주서울관광호텔,33.5167634,126.5241728,제주특별자치도,제주시,삼도이동,1192-20,1192,20,5011010600,5011010600-0-11920020,,,,,,,
8,302,제주특별자치도,제주시,관광호텔,펄호텔 제주(구 제주펄관광호텔),"강성이, 김석환",영업중,미등급,,지상5~지하2,3597.6,6245.39,88,제주시 신대로20길 49  (연동),,제주특별자치도 제주시 신대로20길 49 (연동),제주특별자치도 제주시 연동 277-1 제주펄호텔,33.4835638,126.4908887,제주특별자치도,제주시,연동,277-1,277,1,5011013700,5011013700-0-02770001,Pearl Hotel Jeju,1,스탠다드 더블 (Standard Double),"39,796","47,755",24m²,2021-12-13
9,303,제주특별자치도,제주시,관광호텔,제주아일랜드호텔리조트,"㈜제주아일랜드
호텔리조트",영업중,미등급,,지하2~지상7,1438,3287,101,제주시 애월읍평화로 2477,,제주특별자치도 제주시 애월읍평화로 2477,제주특별자치도 제주시 애월읍 고성리 863 제주아일래드호텔,33.4323332,126.4153407,제주특별자치도,제주시,애월읍 고성리,863,863,0,5011025329,5011025329-0-08630000,,,,,,,
